用例ID,用例级别,用例来源,是否跳过,跳过原因,用例类别,用例模块,备注
script/system_stable/sm_encrypt/test_curl_noca_network_809283.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_curl_nogm_https_809301.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_openssl_noca_network_809281.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_openssl_sm2_create_pri_pub_key_809315.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_openssl_sm2_sm3_sm4_query_809295.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_openssl_sm4_encrypt_decrypt_809317.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_wget_noca_network_809293.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/sm_encrypt/test_wget_nogm_https_809303.py,L0,自动化,是,该部分用例用例库已删除，由安全维护,sm_encrypt,system,
script/system_stable/audio/test_pulseaudio_cfg_check_631311.py,L0,自动化,,,auduio,system,
script/system_stable/system_service/test_check_failed_service_629410.py,L0,自动化,,need debug,system_service,system,
script/system_stable/system_service/test_check_service_conf_598673.py,L0,自动化,是,暂时下架，版本变动太多,system_service,system,
script/system_stable/system_service/test_enabled_service_inactive_check_629336.py,L0,自动化,,,system_service,system,
script/system_stable/system_service/test_hostapd_service_459281.py,L0,自动化,,,system_service,system,
script/system_stable/system_service/test_hugepages_service_601085.py,L0,自动化,,,system_service,system,
script/system_stable/system_service/test_ssh_service_425373.py,L0,自动化,是,ssh在cdtest里需要开启,system_service,system,
script/system_stable/system_service/test_systemd_binfmt_service_625118.py,L0,自动化,,,system_service,system,
script/system_stable/system_service/test_systemd_timer_425346.py,L0,自动化,,,system_service,system,
script/system_stable/grub/test_check_grub_shim_efi_601630.py,L0,自动化,,,grub,system,
script/system_stable/grub/test_vmlinuxz_grubx_signature_459293.py,L0,自动化,,,grub,system,
script/system_stable/bluetooth/test_bluetooth_input_478362.py,L0,自动化,是,此用例需要插上蓝牙设备,bluetooth,system,
script/system_stable/system_baseline/system_security_baseline/test_auditd_583238.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_auth_log_permission_check_601049.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_boot_permission_475232.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_etc_shadow_468158.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_file_rw_by_diffirent_user_598602.py,L0,自动化,,bug122581,system_security_baseline,system,开发说已修复
script/system_stable/system_baseline/system_security_baseline/test_check_network_port_601094.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_ssh__permissions_root_601087.py,L0,自动化,是,SSH老版本升级不覆盖配置,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_suid_sgid_permission_file_598597.py,L0,自动化,,bug143229,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_check_sys_startup_service_601060.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_etc_permission_639491.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_nouser_nogroup_check_601088.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_pam_file_authority_639495.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_pre_user_check_602937.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_prohibit_uid_is_zero_except_root_601090.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_rw_dir_for_all_user_598603.py,L0,自动化,,bug122581,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_ssh_key_check_468377.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_tls_sslscan_601050.py,L0,自动化,是,debug中,system_security_baseline,system,
script/system_stable/system_baseline/system_security_baseline/test_usr_login_encrypt_601047.py,L0,自动化,,,system_security_baseline,system,
script/system_stable/system_baseline/system_rules/test_apt_auth_check_160880.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_apt_lable_173127.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_dir_struct_247711.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_etc_login_429587.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_osbuild_169829.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_security_repository_601045.py,L0,自动化,是,定制镜像无安全仓库,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_the_files_in_the_system_whose_group_is_shadow_476640.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_check_user_login_attr_check_639431.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_checkhomedir_247726.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_debian_version_262611.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_etc_issue_343528.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_hidden_file_check_598604.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_home_dir_access_ctrl_598630.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_src_file_write_protect_598649.py,L0,自动化,,,system_rules,system,
script/system_stable/system_baseline/system_rules/test_ssh_tmout_check_656307.py,L0,自动化,是,SSH老版本升级不覆盖配置，设计如此,system_rules,system,
script/system_stable/cve/test_cve_deb_version_install_check_001.py,L0,自动化,是,此用例专门用于CVE转测测试,cve,system,
script/system_stable/system_log/test_rsyslog_cfg_check_302386.py,L0,自动化,,,system_log,system,
script/system_stable/system_log/test_rsyslog_config_check_601076.py,L0,自动化,,,system_log,system,
script/system_stable/sys_basic_package/test_hwclock_614986.py,L0,自动化,,,sys_basic_package,system,
script/system_stable/sys_basic_package/test_iptables_save_602957.py,L0,自动化,是,debug中,sys_basic_package,system,
script/system_stable/sys_basic_package/e2fsprogs/test_blkid_614063.py,L0,自动化,,,sys_basic_package/e2fsprogs,system,
script/system_stable/sys_basic_package/bsdutils/test_renice_615321.py,L0,自动化,,,sys_basic_package/bsdutils,system,
script/system_stable/sys_basic_package/bsdmainutils/test_hexdump_614985.py,L0,自动化,,,sys_basic_package/bsdmainutils,system,
script/system_stable/sys_basic_package/bsdmainutils/test_ul_649236.py,L0,自动化,,,sys_basic_package/bsdmainutils,system,
script/system_stable/sys_basic_package/util-linux/test_chsh_func_614973.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_fallocate_614977.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_fincore_614979.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_ionice_614987.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_lscpu_check_614997.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_sfdisk_615494.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_swaplabel_615500.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/util-linux/test_swapon_swapoff_615498.py,L0,自动化,,,sys_basic_package/util-linux,system,
script/system_stable/sys_basic_package/udisk/test_udisks_rule_653114.py,L0,自动化,,,udisk,system,
script/system_stable/network/test_net_driver_check_294359.py,L0,自动化,,,network,system,
